indicator,fr,es
"Prestation technique, salarié·es permanent·es, masse salariale, part de femmes","Prestation technique, salarié·es permanent·es, masse salariale, part de femmes",
"Expert·es, RTL, part de femmes","Expert·es, RTL, part de femmes",
"Médias, source ou sujet·te d'information, part de femmes","Médias, source ou sujet·te d'information, part de femmes",
"A l'antenne, programmes divertissement, part de femmes","A l'antenne, programmes divertissement, part de femmes",
"Temps de parole, radio et télé, NRJ, part de femmes","Temps de parole, radio et télé, NRJ, part de femmes",
"Journalistes, RFI, part de femmes","Journalistes, RFI, part de femmes",
"Chaînes d'info en continue, BFM TV, part de femmes","Chaînes d'info en continue, BFM TV, part de femmes",
"Expert·es, France Musique, part de femmes","Expert·es, France Musique, part de femmes",
"Temps de parole, radio et télé, France Inter, part de femmes","Temps de parole, radio et télé, France Inter, part de femmes",
"Journalisme, documentaliste, part de femmes","Journalisme, documentaliste, part de femmes",
"Télévision, programmes diffusés aux heures de forte audience, part de femmes","Télévision, programmes diffusés aux heures de forte audience, part de femmes",
"Télévision, programmes diffusés, part de femmes","Télévision, programmes diffusés, part de femmes",
"Médias, source d'informations sciences et santé, part de femmes","Médias, source d'informations sciences et santé, part de femmes",
"Journalistes, France Culture, part de femmes","Journalistes, France Culture, part de femmes",
"Expert·es, France 5, part de femmes","Expert·es, France 5, part de femmes",
"Temps de parole, radio et télé, TMC, part de femmes","Temps de parole, radio et télé, TMC, part de femmes",
"Temps de parole, radio et télé, programme Information, part de femmes","Temps de parole, radio et télé, programme Information, part de femmes",
"Présentateurs à France Culture, part de femmes","Présentateurs à France Culture, part de femmes",
"Audiovisuel, Ingénieur·es, cadres techniques, part de femmes","Audiovisuel, Ingénieur·es, cadres techniques, part de femmes",
"Expert·es dans la presse nationale pendant le premier confinement, part de femmes","Expert·es dans la presse nationale pendant le premier confinement, part de femmes",
"Temps de parole, radio et télé, Europe 1, part de femmes","Temps de parole, radio et télé, Europe 1, part de femmes",
"Présentateurs à Europe 1, part de femmes","Présentateurs à Europe 1, part de femmes",
"France Inter, Invité·es politiques, part de femmes","France Inter, Invité·es politiques, part de femmes",
"Expert·es, France Culture, part de femmes","Expert·es, France Culture, part de femmes",
"Présentateur·rices à France inter, part de femmes","Présentateur·rices à France inter, part de femmes",
"Journaliste, reporter photo, part de femmes","Journaliste, reporter photo, part de femmes",
"Présence dans les médias électroniques, part de femmes","Présence dans les médias électroniques, part de femmes",
"Présentateur·rices à France Culture, part de femmes","Présentateur·rices à France Culture, part de femmes",
"France Culture, Invité·es politiques, part de femmes","France Culture, Invité·es politiques, part de femmes",
"Médias, source d'informations, célébrités, arts, sport, part de femmes","Médias, source d'informations, célébrités, arts, sport, part de femmes",
"Temps de parole, radio et télé, France Info, part de femmes","Temps de parole, radio et télé, France Info, part de femmes",
"Médias, source d'informations économiques, part de femmes","Médias, source d'informations économiques, part de femmes",
"A l'antenne, programmes sport, part de femmes","A l'antenne, programmes sport, part de femmes",
"Présentateur·rices à RMC, part de femmes","Présentateur·rices à RMC, part de femmes",
"Presse, salarié·es permanent·es, masse salariale, part de femmes","Presse, salarié·es permanent·es, masse salariale, part de femmes",
"RFI, Invité·es politiques, part de femmes","RFI, Invité·es politiques, part de femmes",
"Présentateurs à France Info, part de femmes","Présentateurs à France Info, part de femmes",
"Temps de parole, radio et télé, RTL, part de femmes","Temps de parole, radio et télé, RTL, part de femmes",
"Journalistes, C8, part de femmes","Journalistes, C8, part de femmes",
"Temps de parole, radio et télé, programme Sport, part de femmes","Temps de parole, radio et télé, programme Sport, part de femmes",
"Chaînes d'info en continue, Cnews, part de femmes","Chaînes d'info en continue, Cnews, part de femmes",
"A l'antenne, magazines et documentaires, part de femmes","A l'antenne, magazines et documentaires, part de femmes",
"Journalistes, Europe 1, part de femmes","Journalistes, Europe 1, part de femmes",
"Journaliste dirigeant·e, part de femmes","Journaliste dirigeant·e, part de femmes",
