pays	annee	nom	valeur	valeur A	ensemble A	valeur B	ensemble B	ref
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes étrangères par rapport à celle des femmes françaises	3.0 fois plus	1118	151014	1242	502684	https://docs.google.com/spreadsheets/d/1jnpQr_rTXSYKhOaOg5wGHkmc0EO2uJGt/edit#gid=845548632  NAT2 - Population de 15 ans ou plus par sexe, type d'activité et nationalité en 2019 Commune de Montreuil (93048) © Insee
Seine-Saint-Denis	2019	Personnes actives ayant un emploi, part de femmes étrangères par rapport à celle des femmes françaises	1.3 fois moins	56530	151014	251838	502684	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes étrangères par rapport à celle des femmes françaises	1.7 fois plus	23947	151014	46031	502684	
Seine-Saint-Denis	2019	Élèves, étudiantes, stagiaires non rémunérés, part de femmes étrangères par rapport à celle des femmes françaises	2.3 fois moins	7332	151014	54951	502684	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes françaises par acquisition par rapport à celle des femmes français de naissance	2.7 fois plus	10755	105045	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes portugaises par rapport à celle des femmes français de naissance	1.3 fois plus	677	13233	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes italiennes par rapport à celle des femmes français de naissance	2.4 fois plus	237	2580	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes espagnoles par rapport à celle des femmes français de naissance	1.7 fois plus	146	2188	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes d'autres nationalités de l'UE par rapport à celle des femmes français de naissance	3.8 fois plus	1668	11530	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes d'autres nationalités de l'Europe par rapport à celle des femmes français de naissance	3.9 fois plus	1078	7198	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes algériennes rapport à celle des femmes français de naissance	6.8 fois plus	6627	25290	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes marocaines rapport à celle des femmes français de naissance	8.3 fois plus	4492	14197	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes tuisiennes rapport à celle des femmes français de naissance	8.5 fois plus	2129	6557	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes d'autres nationalités d'Afrique rapport à celle des femmes français de naissance	3.4 fois plus	4051	31121	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes turques rapport à celle des femmes français de naissance	11.3 fois plus	2446	5648	15232	397639	
Seine-Saint-Denis	2019	Personnes au foyer, part de femmes d'autres nationalités rapport à celle des femmes français de naissance	6.0 fois plus	7233	31472	15232	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes françaises par acquisition par rapport à celle des femmes français de naissance	1.5 fois plus	13328	105045	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes portugaises par rapport à celle des femmes français de naissance	1.5 fois moins	738	13233	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes italiennes par rapport à celle des femmes français de naissance	1.1 fois plus	241	2580	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes espagnoles par rapport à celle des femmes français de naissance	1.2 fois plus	215	2188	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes d'autres nationalités de l'UE par rapport à celle des femmes français de naissance	1.8 fois plus	1734	11530	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes d'autres nationalités de l'Europe par rapport à celle des femmes français de naissance	1.6 fois plus	925	7198	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes algériennes rapport à celle des femmes français de naissance	2.1 fois plus	4435	25290	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes marocaines rapport à celle des femmes français de naissance	2.1 fois plus	2467	14197	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes tuisiennes rapport à celle des femmes français de naissance	2.6 fois plus	1418	6557	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes d'autres nationalités d'Afrique rapport à celle des femmes français de naissance	2.6 fois plus	6634	31121	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes turques rapport à celle des femmes français de naissance	1.6 fois plus	734	5648	32702	397639	
Seine-Saint-Denis	2019	Personnes au chômage, part de femmes d'autres nationalités rapport à celle des femmes français de naissance	1.7 fois plus	4406	31472	32702	397639	
