pays,annee,nom,taux femmes / taux hommes,taux femmes,taux hommes,REF
France,2020,Taux d'activité des femmes par rapport à celui des hommes,0.8977149,82.5,91.9,
France,2020,"Temps partiel subi, femmes par rapport aux hommes",3.2619048,27.4,8.4,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux de retard scolaire, part des filles par rapport aux garçons",0.7659574,3.6,4.7,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2021,"Sentiment de sécurité dans les transports scolaires, part des filles par rapport aux garçons",0.8651685,77,89,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2021,"Sentiment de sécurité au lycée, part des filles par rapport aux garçons",0.9784946,91,93,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2021,"Victime d'insultes sexistes au collège, part des filles par rapport aux garçons",1.8333333,11,6,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2021,"Victime d'insultes sexistes au lycée, part des filles par rapport aux garçons",9.0000000,18,2,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi apprenti·es sortant d'études CAP, femmes par rapport aux hommes",0.7857143,44,56,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,Taux d'emploi apprenti·es sortant d'études BP femmes par rapport aux hommes,0.9863014,72,73,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,Taux d'emploi apprenti·es sortant d'études Bac pro femmes par rapport aux hommes,0.8888889,56,63,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi apprenti·es sortant d'études BTS, femmes par rapport aux hommes",0.9275362,64,69,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi apprenti·es sortant d'étude, femmes par rapport aux hommes",0.9193548,57,62,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi de cadre à diplôme équivalent, DUT, femmes par rapport aux hommes",0.7105263,54,76,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi de cadre à diplôme équivalent, LP, femmes par rapport aux hommes",0.7882353,67,85,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Taux d'emploi de cadre à diplôme équivalent, Master, femmes par rapport aux hommes",0.9565217,88,92,https://docs.google.com/spreadsheets/d/1tqtHI4ZDUbZfDOIV3g8zHmoUOeXCVcnB/edit?usp=sharing&ouid=101964251927869328959&rtpof=true&sd=true
France,2020,"Confinement, temps passé avec enfants, part des femmes par rapport aux hommes",1.4561404,83,57,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Confinement, arrêt du travail pour soins aux enfants, part des femmes par rapport aux hommes",1.7500000,21,12,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Confinement, télétravail avec pièce dédiée, part des femmes par rapport aux hommes",0.7818182,43,55,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Confinement, télétravail avec enfants, part des femmes par rapport aux hommes",1.2972973,48,37,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Actif·ves indépendant·es, ayant arrêté le travail 1er confinement, part des femmes par rapport aux hommes",1.8000000,63,35,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Renoncement à des soins malgré le besoin, part des femmes par rapport aux hommes",1.2075472,64,53,https://www.egalite-femmes-hommes.gouv.fr/sites/efh/files/migration/2021/12/Chiffres-cles-Egalite-femmes-hommes-02-12-2021.pdf
France,2020,"Taux de risque de pauvreté au travail, part des femmes par rapport aux hommes",1.2647059,8.6,6.8,
France,2020,"Taux de contrats à temps partiel, part des femmes par rapport aux hommes",3.8780488,79.5,20.5,
France,2020,"Taux de temps partiel contraint, part des femmes par rapport aux hommes",5.5000000,11,2,
France,2020,"Taux de temps partiel pour soin aux dépendants, part des femmes par rapport aux hommes",3.4285714,48,14,
France,2021,"Part de salarié·es en contrat précaire, territoires ruraux, femmes par rapport aux hommes",1.3125000,21,16,
France,2021,"Parents isolé·es en temps partiel subi, femmes par rapport aux hommes",4.9482759,28.7,5.8,
France,2016,"Baisse du niveau de vie après séparation, femmes par rapport aux hommes",1.6567164,-22.2,-13.4,
France,2013,"Parents isolé·es, propriétaires, femmes par rapport aux hommes",0.6222222,28,45,
