indicator,fr,es
"Artistes solistes, part de femmes","Artistes solistes, part de femmes",
"Communes urbaines, Maires, part de femmes","Communes urbaines, Maires, part de femmes",
"Cadres techniques, part de femmes","Cadres techniques, part de femmes",
"Programmation artistique théâtre et danse, part des artistes femmes","Programmation artistique théâtre et danse, part des artistes femmes",
"Artistes chefs d'orchestre, part de femmes","Artistes chefs d'orchestre, part de femmes",
"Parmi les 0,1% plus hauts salaires en équivalent temps plein, part de femmes","Parmi les 0,1% plus hauts salaires en équivalent temps plein, part de femmes",
"Fonctionnaires Ministère des Armées, part de femmes","Fonctionnaires Ministère des Armées, part de femmes",
"Processus de paix, médiation, part de femmes ","Processus de paix, médiation, part de femmes",
"Entreprise individuelle, construction, part de femmes","Entreprise individuelle, construction, part de femmes",
"Licences fédérations sportives, natation, part de femmes","Licences fédérations sportives, natation, part de femmes",
"A l'antenne télévision 18 h - 20 h , part de femmes","A l'antenne télévision 18 h - 20 h , part de femmes",
"Experts à l'antenne, part de femmes","Experts à l'antenne, part de femmes",
"Direction, présidence d'entreprises de l'audiovisuel public, part de femmes","Direction, présidence d'entreprises de l'audiovisuel public, part de femmes",
"Membres exécutifs d'entreprise, part de femmes","Membres exécutifs d'entreprise, part de femmes",
"Pays sans quotas, parlement, part de femmes","Pays sans quotas, parlement, part de femmes",
"Employés universitaires grade C, part de femmes","Employés universitaires grade C, part de femmes",
"Étudiants universitaires, part de femmes","Étudiants universitaires, part de femmes",
"Parmi les 1000 plus hauts salaires en équivalent temps plein, part de femmes","Parmi les 1000 plus hauts salaires en équivalent temps plein, part de femmes",
"Artistes dans spectacles théâtre, part de femmes","Artistes dans spectacles théâtre, part de femmes",
"Employés universitaires grade A, part de femmes","Employés universitaires grade A, part de femmes",
"Maires, part de femmes","Maires, part de femmes",
"Parmi les 10% plus hauts salaires en équivalent temps plein, part de femmes","Parmi les 10% plus hauts salaires en équivalent temps plein, part de femmes",
"Communes rurales, Maires, part de femmes","Communes rurales, Maires, part de femmes",
"Fonctionnaires Ministères sociaux, part de femmes","Fonctionnaires Ministères sociaux, part de femmes",
"Conseilleurs régionaux en affaires sociale, part de femmes","Conseilleurs régionaux en affaires sociale, part de femmes",
"Pendant la crise sanitaire, comité d'analyse, expertise, part de femmes","Pendant la crise sanitaire, comité d'analyse, expertise, part de femmes",
"Formations paramédicales et sociales, part de femmes","Formations paramédicales et sociales, part de femmes",
"Artistes travaillant dans la mise en scène opéra, part de femmes","Artistes travaillant dans la mise en scène opéra, part de femmes",
"Métiers du numérique, part de femmes","Métiers du numérique, part de femmes",
"Entreprise individuelle, design, part de femmes","Entreprise individuelle, design, part de femmes",
"Personnes ayant subi des injures sexistes, part de femmes","Personnes ayant subi des injures sexistes, part de femmes",
"Part consacrée à la retransmission du sport féminin à la télévision","Part consacrée à la retransmission du sport féminin à la télévision",
"Micro-entreprise, part de femmes","Micro-entreprise, part de femmes",
"Conseils municipaux, part de femmes","Conseils municipaux, part de femmes",
"Aides à domicile, part de femmes","Aides à domicile, part de femmes",
"Métiers du sport, Arbitres football, part de femmes","Métiers du sport, Arbitres football, part de femmes",
"Fonction publique territoriale, catégorie A+, part de femmes","Fonction publique territoriale, catégorie A+, part de femmes",
"Conseilleurs régionaux en transport, part de femmes ","Conseilleurs régionaux en transport, part de femmes",
"Entreprise individuelle, communication, part de femmes","Entreprise individuelle, communication, part de femmes",
"Pays avec quotas, parlement, part de femmes","Pays avec quotas, parlement, part de femmes",
"Conseilleurs départementaux, part de femmes","Conseilleurs départementaux, part de femmes",
"Présentation de journaux télévisés, part de femmes ","Présentation de journaux télévisés, part de femmes",
"Métiers du sport, Entraîneur·euses nationales, part de femmes","Métiers du sport, Entraîneur·euses nationales, part de femmes",
"Mission d'information conséquences Covid19, part de femmes","Mission d'information conséquences Covid19, part de femmes",
"Fonction publique territoriale, encadrement supérieur et direction, part de femmes","Fonction publique territoriale, encadrement supérieur et direction, part de femmes",
"Maires de France, part de femmes","Maires de France, part de femmes",
"Lycée, spécialité numérique et informatique, part de femmes","Lycée, spécialité numérique et informatique, part de femmes",
"Conseilleurs régionaux, part de femmes","Conseilleurs régionaux, part de femmes",
"Employés DTN (directrice technique nationale), part de femmes","Employés DTN (directrice technique nationale), part de femmes",
"Bourse, Entreprises SBF 120, part de femmes","Bourse, Entreprises SBF 120, part de femmes",
"Université Sciences STAPS, part de femmes","Université Sciences STAPS, part de femmes",
"Oeuvres classiques composées par des femmes jouées dans les festivals","Oeuvres classiques composées par des femmes jouées dans les festivals",
"Membres non exécutifs d'entreprise, part de femmes","Membres non exécutifs d'entreprise, part de femmes",
"Médecins et personnels non médicaux à l’hôpital, part de femmes","Médecins et personnels non médicaux à l’hôpital, part de femmes",
"Licences fédérations sportives, randonnée, part de femmes","Licences fédérations sportives, randonnée, part de femmes",
"Exposition, et acquisition dans les FRAC , part des artistes femmes","Exposition, et acquisition dans les FRAC , part des artistes femmes",
"Conseilleurs municipaux, part de femmes","Conseilleurs municipaux, part de femmes",
"Part des tâches domestiques réalisées par les femmes","Part des tâches domestiques réalisées par les femmes",
"Agent·es d'entretien, part de femmes","Agent·es d'entretien, part de femmes",
"Fonction publique hospitalière, encadrement supérieur et direction, part de femmes","Fonction publique hospitalière, encadrement supérieur et direction, part de femmes",
"Licences fédérations sportives, danse, part de femmes","Licences fédérations sportives, danse, part de femmes",
"Délégations secteur Affaires sociales et santé des conseils régionaux, part de femmes","Délégations secteur Affaires sociales et santé des conseils régionaux, part de femmes",
"Accords de paix, avec dispositions sur femmes et genre, part de femmes","Accords de paix, avec dispositions sur femmes et genre, part de femmes",
"Licences fédérations sportives, tir, part de femmes","Licences fédérations sportives, tir, part de femmes",
"Invité-es politiques, part de femmes","Invité-es politiques, part de femmes",
"Allocataires du RSA, part de femmes","Allocataires du RSA, part de femmes",
"Instituteur·rices, part de femmes","Instituteur·rices, part de femmes",
"Conventions sur le climat, rôle de décision, part de femmes","Conventions sur le climat, rôle de décision, part de femmes",
"Direction, présidence de Musées Nationaux, part de femmes","Direction, présidence de Musées Nationaux, part de femmes",
"Licences fédérations sportives, football, part de femmes","Licences fédérations sportives, football, part de femmes",
"Métiers d'aide aux personnes et métiers de la propreté, part de femmes","Métiers d'aide aux personnes et métiers de la propreté, part de femmes",
"Direction d’entreprise, part de femme","Direction d’entreprise, part de femme",
"Fonction publique d'État, catégorie A, part de femmes","Fonction publique d'État, catégorie A, part de femmes",
"Délégations secteur Education et lycée des conseils régionaux, part de femmes","Délégations secteur Education et lycée des conseils régionaux, part de femmes",
"Délégations secteur Budget et Finances des conseils régionaux, part de femmes","Délégations secteur Budget et Finances des conseils régionaux, part de femmes",
"Présidences de commissions au Sénat part de femmes","Présidences de commissions au Sénat part de femmes",
