indicator,fr,es
"Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes","Proportion parmi les cadres dirigeant·es, femmes par rapport aux hommes",
"Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes","Part de chef·fes de famille monoparentale propriétaires, femmes par rapport aux hommes",
"Proportion parmi les licencié·es de sport, femmes par rapport aux hommes","Proportion parmi les licencié·es de sport, femmes par rapport aux hommes",
"Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes","Chef·fes de famille monoparentale chez les 25 à 54 ans, femmes par rapports aux hommes",
"Proportion dans les conseils municipaux, femmes par rapport aux hommes","Proportion dans les conseils municipaux, femmes par rapport aux hommes",
"Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes","Proportion dans les conseils municipaux, maires, femmes par rapport aux hommes",
"Participation aux soins quotidiens aux enfants et éducation, part des femmes par rapport à celle des hommes","Participation aux soins quotidiens aux enfants et éducation, part des femmes par rapport à celle des hommes",
"Temps journalier de travail domestique jardinage et bricolage des femmes par rapport aux hommes","Temps journalier de travail domestique jardinage et bricolage des femmes par rapport aux hommes",
"Temps passé en trajet et transports des femmes par rapport aux hommes","Temps passé en trajet et transports des femmes par rapport aux hommes",
"Temps journalier de travail domestique ménage et courses des femmes par rapport aux hommes","Temps journalier de travail domestique ménage et courses des femmes par rapport aux hommes",
"Temps journalier des soins aux enfants des femmes par rapport aux hommes","Temps journalier des soins aux enfants des femmes par rapport aux hommes",
"Temps journalier dédié au travail, études, formation  des femmes par rapport aux hommes","Temps journalier dédié au travail, études, formation  des femmes par rapport aux hommes",
"Temps journalier physiologique (repos, hygiène) des femmes par rapport aux hommes","Temps journalier physiologique (repos, hygiène) des femmes par rapport aux hommes",
"Temps libre par jour des femmes par rapport aux hommes","Temps libre par jour des femmes par rapport aux hommes",
"Temps journalier de travail domestique des femmes par rapport aux hommes","Temps journalier de travail domestique des femmes par rapport aux hommes",
"Participation à la cuisine et travaux ménagers, part des femmes par rapport à celle des hommes","Participation à la cuisine et travaux ménagers, part des femmes par rapport à celle des hommes",
"Emploi à temps partiel, taux des femmes par rapport à celui des hommes","Emploi à temps partiel, taux des femmes par rapport à celui des hommes",
