indicator,fr,es
"Parmi les auteur·rices de viol n'ayant pas agi seul·e, part de femmes","Parmi les auteur·rices de viol n'ayant pas agi seul·e, part de femmes",
"Parmi les auteur·rices de viol ayant agi seul·e, part de femmes","Parmi les auteur·rices de viol ayant agi seul·e, part de femmes",
"Auteur·rices de violences conjugales, reconnu·es coupables, part de femmes","Auteur·rices de violences conjugales, reconnu·es coupables, part de femmes",
"Parmi les victimes mineur·es de viol dont le dossier est traité au tribunal de Bobigny, part de filles","Parmi les victimes mineur·es de viol dont le dossier est traité au tribunal de Bobigny, part de filles",
"Co-victimes mineur·es de violences congugales, part de filles","Co-victimes mineur·es de violences congugales, part de filles",
"Parmi les victimes de viol dont le dossier est traité au tribunal de Bobigny, part de femmes","Parmi les victimes de viol dont le dossier est traité au tribunal de Bobigny, part de femmes",
"Parmi les victimes mineur·es d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles","Parmi les victimes mineur·es d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles",
"Au sein des clubs sportifs, auteur·ices de violences, part de femmes","Au sein des clubs sportifs, auteur·ices de violences, part de femmes",
"Victimes présumé·es de violences sexuelles sur mineur·es, part de filles","Victimes présumé·es de violences sexuelles sur mineur·es, part de filles",
"Auteur·rices de violences conjugales, avec poursuite pénal, part de femmes","Auteur·rices de violences conjugales, avec poursuite pénal, part de femmes",
"Parmi les victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de femmes","Parmi les victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de femmes",
"Victimes reçues à l’Unité spécialisée d'accompagnement au psychotraumatisme de l'hopital Robert Ballanger, part de femmes","Victimes reçues à l’Unité spécialisée d'accompagnement au psychotraumatisme de l'hopital Robert Ballanger, part de femmes",
"Parmi les auteur·rices mineures de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de femmes","Parmi les auteur·rices mineures de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de femmes",
"Parmi les auteur·rices d'agression sexuelle n'ayant pas agi seul·e, part de femmes","Parmi les auteur·rices d'agression sexuelle n'ayant pas agi seul·e, part de femmes",
"Parmi les mineur·es de moins de 13 ans, victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles","Parmi les mineur·es de moins de 13 ans, victimes d'agression sexuelle dont le dossier est traité au tribunal de Bobigny, part de filles",
"Patient·es reçu·es en consultation de victimologies, part de femmes","Patient·es reçu·es en consultation de victimologies, part de femmes",
"Victimes mineur·es de mariages forcés, part de filles","Victimes mineur·es de mariages forcés, part de filles",
"Parmi les victimes mineur·es de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de filles","Parmi les victimes mineur·es de viol / d'agression sexuelle dont le dossier est traité au tribunal pour enfants de Bobigny, part de filles",
"Parmi les auteur·rices d'agression sexuelle ayant agi seul·e, part de femmes","Parmi les auteur·rices d'agression sexuelle ayant agi seul·e, part de femmes",
"Personnes prises en charges par le service psycho traumatologique, part de femmes","Personnes prises en charges par le service psycho traumatologique, part de femmes",
