pays,annee,nom,valeur  %,FEMMES,HOMMES,REF,LINK
France,2016,Centre national du livre - bourses- Montant moyen des aides accordées aux femmes par rapport aux hommes,12,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2016,Centre national du livre - bourses de résidence- Montant moyen des aides accordées aux femmes par rapport aux hommes,-3,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,Centre national du livre - Assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-21,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,Centre national du livre - Montant moyen des aides accordées aux femmes par rapport aux hommes- bourses,-11,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Centre national du livre - Bourses de résidence, montant moyen des aides accordées aux femmes par rapport aux hommes",-5,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,"Centre national du livre - Bourses de traduction, montant moyen des aides accordées aux femmes par rapport aux hommes",17,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,Centre national du livre - Montant moyen des aides accordées aux femmes par rapport aux hommes- traducteurs étrangers ,-28,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,Centre national du livre - Assistance culturelle- Montant moyen des aides accordées aux femmes par rapport aux hommes,-43,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2018,Centre national du livre - Bourses - montant moyen des aides accordées aux femmes par rapport aux hommes,-9,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
France,2017,Centre national du livre -  Bourses - montant moyen des aides accordées aux femmes par rapport aux hommes,-11,,,OBSERVATOIRE CULTURE GROUP1 ECARTS,https://docs.google.com/spreadsheets/d/1mDi5IBErron3atDKT5DULz-Y1osB1mAFkAJ1e1BVj-E/edit?usp=sharing
