annee,pays,nom,valeur,,
2021,France,"Théâtres nationaux, part de représentation de spectacles mis en scène par des femmes ",27%,,
2022,France,"Théâtres nationaux, part de représentation de spectacles mis en scène par des femmes ",46%,,
2021,France,"Centres dramatiques nationaux et régionaux, part des représentations de spectacles mis en scène par des femmes ",44%,,
2022,France,"Centres dramatiques nationaux et régionaux, part des représentations de spectacles mis en scène par des femmes ",47%,,
2021,France,"Scènes nationales, part de représentation de spectacles mis en scène par des femmes ",36%,,
2022,France,"Scènes nationales, part de représentation de spectacles mis en scène par des femmes ",40%,,
2021,France,"Scènes conventionnées, part des représentations de spectacles mis en scène par des femmes ",39%,,
2022,France,"Scènes conventionnées, mise en scène, part de femmes",37%,,
2021,France,"Pôles nationaux des arts du cirque, part de représentation de spectacles mis en scène par des femmes ",36%,,
2022,France,"Pôles nationaux des arts du cirque, mise en scène de spectacles, part de femmes ",39%,,
2021,France,"Théâtres nationaux, mise en scène de spectacle, part de femmes ",35%,,
2021,France,"Centres dramatiques nationaux et régionaux, Mise en scène de spectacle, part de femmes ",45%,,
2021,France,"Scènes nationales, mise en scène de spectacle, part de femmes ",37%,,
2021,France,"Scènes conventionnées, mise en scène de spectacle, part de femmes ",40%,,
2021,France,"Pôles nationaux des arts du cirque, mise en scène de spectacle, part de femmes ",40%,,
2021,France,"Centres de développement chorégraphique, mise en scène de spectacle, part de femmes  ",61%,,
2021,France,"Théâtres nationaux, mise en scène de spectacles jeune public, part de femmes ",25%,,
2022,France,"Théâtres nationaux, mise en scène de spectacles jeune public, part de femmes ",57%,,
2021,France,"Centres dramatiques nationaux et régionaux, mise en scène de spectacles jeune public, part de femmes ",50%,,
2022,France,"Centres dramatiques nationaux et régionaux, mise en scène de spectacles jeune public, part de femmes ",57%,,
2021,France,"Scènes nationales, mise en scène de spectacles jeune public, part de femmes ",36%,,
2022,France,"Scènes nationales, mise en scène de spectacles jeune public, part de femmes ",40%,,
2021,France,"Scènes conventionnées, mise en scène de spectacles jeune public, part de femmes ",45%,,
2022,France,"Scènes conventionnées, mise en scène de spectacles jeune public, part de femmes ",44%,,
2021,France,"Pôles nationaux des arts du cirque, mise en scène de spectacles jeune public, part de femmes ",37%,,
2022,France,"Pôles nationaux des arts du cirque, mise en scène de spectacles jeune public, part de femmes ",27%,,
2022,France,"Tous lieux confondus, mise en scène de spectacles jeune public, part de femmes ",43%,,
2021,France,"Théâtres nationaux, écriture de spectacles, part de femmes",26%,,
2021,France,"Centres dramatiques nationaux et régionaux, écriture de spectacles, part de femmes",31%,,
2022,France,"Centres dramatiques nationaux et régionaux, écriture de spectacles, part de femmes",32%,,
2021,France,"Scènes nationales, écriture de spectacles, part de femmes",28%,,
2022,France,"Scènes nationales, écriture de spectacles, part de femmes",30%,,
2017-2018,France,"Théâtres nationaux, écriture de spectacles, part de femmes",17%,,
2022,France,"Théâtres nationaux, écriture de spectacles, part de femmes",34%,,
2017-2018,France,"Scènes conventionnées, écriture de spectacles, part de femmes",26%,,
2021,France,"Scènes conventionnées, écriture de spectacles, part de femmes",29%,,
2022,France,"Scènes conventionnées, écriture de spectacles, part de femmes",31%,,
2017-2018,France,"Pôles nationaux des arts du cirque, écriture de spectacles, part de femmes",22%,,
2021,France,"Pôles nationaux des arts du cirque, écriture de spectacles, part de femmes",34%,,
2022,France,"Pôles nationaux des arts du cirque, écriture de spectacles, part de femmes",33%,,
2017-2018,France,"Tous lieux confondus, écriture de spectacles, part de femmes",24%,,
2022,France,"Tous lieux confondus, écriture de spectacles, part de femmes",31%,,
2021,France,"Tous lieux confondus, écriture de spectacles, part de femmes",48%,,
2017-2018,France,"Théâtres nationaux, adaptation de spectacles, part de femmes",25%,,
2022,France,"Théâtres nationaux, adaptation de spectacles, part de femmes",57%,,
2022,France,"Théâtres nationaux, traduction de spectacles, part de femmes",43%,,
2022,France,"Théâtres nationaux, scénographie, part de femmes",60%,,
2022,France,"Théâtres nationaux, chorégraphie, part de femmes",41%,,
2022,France,"Centres dramatiques nationaux et régionaux, adaptation de spectacles, part de femmes",42%,,
2022,France,"Centres dramatiques nationaux et régionaux, traduction de spectacles, part de femmes",39%,,
2022,France,"Centres dramatiques nationaux et régionaux, scénographie, part de femmes",41%,,
2022,France,"Centres dramatiques nationaux et régionaux, chorégraphie, part de femmes",51%,,
2022,France,"Scènes nationales, part de femmes, adaptation de spectacles, part de femmes",41%,,
2022,France,"Scènes nationales, part de femmes, traduction de spectacles, part de femmes",40%,,
2022,France,"Scènes nationales, part de femmes, scénographie, part de femmes",40%,,
2022,France,"Scènes nationales, part de femmes, chorégraphie, part de femmes",44%,,
2022,France,"Scènes conventionnées, adaptation de spectacles, part de femmes",35%,,
2022,France,"Scènes conventionnées, traduction de spectacles, part de femmes",42%,,
2022,France,"Scènes conventionnées, scénographie, part de femmes",41%,,
2022,France,"Scènes conventionnées, chorégraphie, part de femmes",44%,,
