pays,annee,nom,valeur,
France,2020,"Cinéma, réalisation de court-métrage, part de femmes",38%,
France,2020,"Cinéma, réalisation de long-métrage, part de femmes",25%,
France,2018-2019,"Concerts dans des lieux musicaux, part de femmes",15%,
France,2018-2019,"Spectacles dans des lieux musicaux, part de femmes",20%,
France,2018-2019,"Spectacles jeune public dans des lieux musicaux, part de femmes",32%,
France,2018,"Photographes de profession, part de femmes",35%,
France,2019,"Photographes de profession, part de femmes",38%,
France,2018,"Photographes âgé·es de plus de 40 ans, part de femmes",55%,
France,2018,"Photographes âgé·es de moins de 40 ans, part de femmes",19%,
France,2019,"Photographes exposé·es dans les festivals, part de femmes",32%,
France,2019,"Photographes lauréat·es de prix, part de femmes",41%,
France,2019,"Photographes exposé·es à Paris-Photo, part de femmes",25%,
France,2019,"Secteur effets visuels, tournage, part de femmes",22%,
France,2019,"Secteur effets visuels, réalisation part de femmes",16%,
France,2016,"Secteur de l'audiovisuel, part de femmes",41%,
France,2016,"Secteur de l 'audiovisuel, son, part de femmes",9%,
France,2017,"Secteur de la musique, part de femmes",36%,
France,2019,"Secteur films d'animation, part de femmes",38%,
France,2019,"Secteur films d 'animation, part de femmes",36%,
France,2019,"Secteur Films d'animation, animation, part de femmes",34%,
France,2019,"Secteur films d'animation, prise de vues-son, part de femmes",22%,
France,2019,"Secteur films d'animation, direction artistique, part de femmes",32%,
France,2017,"Secteur Musique et chant, emploi, part de femmes",26%,
France,2017,"Secteur Musique, Musicien·nes, part de femmes",21%,
France,2017,"Secteur Musique, chanteur·euses part de femmes",54%,
France,2017,"Musicien·nes de grands ensembles Jazz, part de femmes",14%,
France,2017,"Musicien·nes d'orchestres, part de femmes",37%,
France,2017,"Spectacle vivant, direction technique, part de femmes",10%,
France,2017,"Spectacle vivant, régie générale, part de femmes",14%,
France,2017,"Spectacle vivant, régie plateau, part de femmes",12%,
France,2017,"Spectacle vivant, technicien·ne de plateau, part de femmes",11%,
France,2017,"Spectacle vivant, Chef·fe accessoiriste, part de femmes",7%,
France,2017,"Spectacle vivant, conception lumière, part de femmes",19%,
France,2017,"Spectacle vivant, régie lumière, part de femmes",16%,
France,2017,"Spectacle vivant, technicien·ne lumière, part de femmes",12%,
France,2017,"Spectacle vivant, Costumier·ère, part de femmes",88%,
France,2017,"Spectacle vivant, régisseur·euse son, part de femmes",7%,
France,2017,"Spectacle vivant, technicien·ne son, part de femmes",7%,
France,2017,"Spectacle vivant, décorateur·rice - Scénographe, part de femmes",39%,
France,2017,"Spectacle vivant, emplois du son, part de femmes",8%,
France,2017,"Spectacle vivant, conception costume, part de femmes",90%,
France,2017,"Spectacle vivant, maquilleur·euse, part de femmes",91%,
France,2017,"Spectacle vivant, informaticien·ne, part de femmes",13%,
France,2017,"Spectacle vivant, direction, part de femmes",32%,
France,2019,"Jeu vidéo, pôle création, part de femmes",13%,
France,2019,"Jeu vidéo, pôle technologique, part de femmes",3%,
France,2019,"Jeu vidéo, pôle production, part de femmes",27%,
France,2019,"Jeu vidéo, management, part de femmes",11%,
France,2019,"Jeu vidéo, image, part de femmes",15%,
France,2019,"Jeu vidéo, Design, part de femmes",6%,
France,2020,"Secteur Effets visuels, infographiste, part de femmes",23%,MàJ 2022
France,2020,"Secteur Effets visuels, postproduction, part de femmes",34%,MàJ 2022
France,2020,"Secteur Effets visuels, tournage, part de femmes",20%,MàJ 2022
France,2020,"Secteur Effets visuels, suivi de production, part de femmes",62%,MàJ 2022
France,2020,"Secteur Effets visuels, support technique, part de femmes",10%,MàJ 2022
France,2020,"Secteur Effets visuels, réalisation part de femmes",28%,MàJ 2022
France,2020,"Secteur Effets visuels, comptabilité et RH, part de femmes",78%,MàJ 2022
