pays,annee,nom,valeur,REF,,
France,2013,"A l'antenne, programmes fiction, part de femmes",37%,,,
France,2014,"A l'antenne, programmes fiction, part de femmes",37%,,,
France,2015,"A l'antenne, programmes fiction, part de femmes",39%,,,
France,2016,"A l'antenne, programmes fiction, part de femmes",35%,,,
France,2018,"A l'antenne, programmes fiction, part de femmes",40%,,,
France,2019,"A l'antenne, programmes fiction, part de femmes",41%,,,
France,2020,"A l'antenne, programmes fiction, part de femmes",38%,,,
France,2013,"A l'antenne, programmes information, part de femmes",35%,,,
France,2014,"A l'antenne, programmes information, part de femmes",36%,,,
France,2015,"A l'antenne, programmes information, part de femmes",36%,,,
France,2016,"A l'antenne, programmes information, part de femmes",37%,,,
France,2020,"A l'antenne, programmes information, part de femmes",38%,,,
France,2019,"A l'antenne, programmes information, part de femmes",39%,,,
France,2018,"A l'antenne, programmes information, part de femmes",38%,,,
France,2013,"A l'antenne, magazines et documentaires, part de femmes",37%,,,
France,2014,"A l'antenne, magazines et documentaires, part de femmes",34%,,,
France,2015,"A l'antenne, magazines et documentaires, part de femmes",35%,,,
France,2016,"A l'antenne, magazines et documentaires, part de femmes",32%,,,
France,2018,"A l'antenne, magazines et documentaires, part de femmes",36%,,,
France,2019,"A l'antenne, magazines et documentaires, part de femmes",38%,,,
France,2020,"A l'antenne, magazines et documentaires, part de femmes",34%,,,
France,2013,"A l'antenne, programmes divertissement, part de femmes",41%,,,
France,2014,"A l'antenne, programmes divertissement, part de femmes",39%,,,
France,2016,"A l'antenne, programmes divertissement, part de femmes",41%,,,
France,2018,"A l'antenne, programmes divertissement, part de femmes",43%,,,
France,2019,"A l'antenne, programmes divertissement, part de femmes",40%,,,
France,2020,"A l'antenne, programmes divertissement, part de femmes",46%,,,
France,2013,"A l'antenne, programmes sport, part de femmes",15%,,,
France,2014,"A l'antenne, programmes sport, part de femmes",16%,,,
France,2016,"A l'antenne, programmes sport, part de femmes",17%,,,
France,2018,"A l'antenne, programmes sport, part de femmes",24%,,,
France,2019,"A l'antenne, programmes sport, part de femmes",15%,,,
France,2020,"A l'antenne, programmes sport, part de femmes",12%,,,
France,2017,"Présentateur·rices à France Info, part de femmes",19%,,,
France,2020,"Présentateur·rices à France Info, part de femmes",30%,,,
France,2017,"Présentateur·rices à France inter, part de femmes",36%,,,
France,2020,"Présentateur·rices à France inter, part de femmes",41%,,,
France,2017,"Présentateur·rices à France Culture, part de femmes",52%,,,
France,2020,"Présentateur·rices à France Culture, part de femmes",47%,,,
France,2017,"Présentateur·rices à France Musique, part de femmes",49%,,,
France,2020,"Présentateur·rices à France Musique, part de femmes",57%,,,
France,2017,"Présentateur·rices à RFI, part de femmes",42%,,,
France,2020,"Présentateur·rices à RFI, part de femmes",17%,,,
France,2017,"Présentateur·rices à RMC, part de femmes",17%,,,
France,2020,"Présentateur·rices à RMC, part de femmes",48%,,,
France,2017,"Présentateur·rices à RTL, part de femmes",32%,,,
France,2020,"Présentateur·rices à RTL, part de femmes",46%,,,
France,2017,"Présentateur·rices à Europe 1, part de femmes",48%,,,
France,2020,"Présentateur·rices à Europe 1, part de femmes",29%,,,
France,2018,"Présentateurs à France Info, part de femmes",27%,,,
France,2018,"Présentateurs à France inter, part de femmes",39%,,,
France,2018,"Présentateurs à France Culture, part de femmes",48%,,,
France,2018,"Présentateurs à France Musique, part de femmes",57%,,,
France,2018,"Présentateurs à RFI, part de femmes",43%,,,
France,2018,"Présentateurs à RMC, part de femmes",18%,,,
France,2018,"Présentateurs à RTL, part de femmes",33%,,,
France,2018,"Présentateurs à Europe 1, part de femmes",36%,,,
France,2019,"Présentateurs à France Info, part de femmes",35%,,,
France,2019,"Présentateurs à France inter, part de femmes",42%,,,
France,2019,"Présentateurs à France Culture, part de femmes",47%,,,
France,2019,"Présentateurs à France Musique, part de femmes",47%,,,
France,2019,"Présentateurs à RFI, part de femmes",47%,,,
France,2019,"Présentateurs à RMC, part de femmes",11%,,,
France,2019,"Présentateurs à RTL, part de femmes",49%,,,
France,2019,"Présentateurs à Europe 1, part de femmes",47%,,,
France,2017,"Expert·es, France Info, part de femmes",31%,,,
France,2018,"Expert·es, France Info, part de femmes",27%,,,
France,2019,"Expert·es, France Info, part de femmes",46%,,,
France,2020,"Expert·es, France Info, part de femmes",46%,,,
France,2017,"Expert·es, France inter, part de femmes",34%,,,
France,2018,"Expert·es, France inter, part de femmes",36%,,,
France,2019,"Expert·es, France inter, part de femmes",38%,,,
France,2020,"Expert·es, France inter, part de femmes",36%,,,
France,2017,"Expert·es, France Culture, part de femmes",33%,,,
France,2018,"Expert·es, France Culture, part de femmes",36%,,,
France,2019,"Expert·es, France Culture, part de femmes",39%,,,
France,2020,"Expert·es, France Culture, part de femmes",42%,,,
France,2017,"Expert·es, France Musique, part de femmes",28%,,,
France,2018,"Expert·es, France Musique, part de femmes",50%,,,
France,2019,"Expert·es, France Musique, part de femmes",51%,,,
France,2020,"Expert·es, France Musique, part de femmes",48%,,,
France,2017,"Expert·es, RFI, part de femmes",32%,,,
France,2018,"Expert·es, RFI, part de femmes",35%,,,
France,2019,"Expert·es, RFI, part de femmes",36%,,,
France,2020,"Expert·es, RFI, part de femmes",24%,,,
France,2017,"Expert·es, RMC, part de femmes",24%,,,
France,2018,"Expert·es, RMC, part de femmes",20%,,,
France,2019,"Expert·es, RMC, part de femmes",15%,,,
France,2020,"Expert·es, RMC, part de femmes",47%,,,
France,2017,"Expert·es, RTL, part de femmes",31%,,,
France,2018,"Expert·es, RTL, part de femmes",31%,,,
France,2019,"Expert·es, RTL, part de femmes",42%,,,
France,2020,"Expert·es, RTL, part de femmes",33%,,,
France,2017,"Expert·es, Europe 1, part de femmes",48%,,,
France,2018,"Expert·es, Europe 1, part de femmes",44%,,,
France,2019,"Expert·es, Europe 1, part de femmes",38%,,,
France,2020,"Expert·es, Europe 1, part de femmes",40%,,,
France,2017,"Journalistes, France Info, part de femmes",38%,,,
France,2018,"Journalistes, France Info, part de femmes",36%,,,
France,2020,"Journalistes, France Info, part de femmes",40%,,,
France,2017,"Journalistes, France inter, part de femmes",46%,,,
France,2018,"Journalistes, France inter, part de femmes",46%,,,
France,2020,"Journalistes, France inter, part de femmes",51%,,,
France,2017,"Journalistes, France Culture, part de femmes",48%,,,
France,2018,"Journalistes, France Culture, part de femmes",47%,,,
France,2020,"Journalistes, France Culture, part de femmes",49%,,,
France,2017,"Journalistes, France Musique, part de femmes",52%,,,
France,2018,"Journalistes, France Musique, part de femmes",44%,,,
France,2020,"Journalistes, France Musique, part de femmes",47%,,,
France,2017,"Journalistes, RFI, part de femmes",37%,,,
France,2018,"Journalistes, RFI, part de femmes",40%,,,
France,2020,"Journalistes, RFI, part de femmes",13%,,,
France,2017,"Journalistes, RMC, part de femmes",20%,,,
France,2018,"Journalistes, RMC, part de femmes",19%,,,
France,2020,"Journalistes, RMC, part de femmes",30%,,,
France,2017,"Journalistes, RTL, part de femmes",42%,,,
France,2018,"Journalistes, RTL, part de femmes",31%,,,
France,2020,"Journalistes, RTL, part de femmes",38%,,,
France,2017,"Journalistes, Europe 1, part de femmes",52%,,,
France,2018,"Journalistes, Europe 1, part de femmes",44%,,,
France,2020,"Journalistes, Europe 1, part de femmes",40%,,,
France,2018,"Expert·es, France 2, part de femmes",34%,,,
France,2018,"Expert·es, France 3, part de femmes",56%,,,
France,2018,"Expert·es, France 5, part de femmes",50%,,,
France,2018,"Expert·es, TF1, part de femmes",43%,,,
France,2020,"Expert·es, TF1, part de femmes",13%,,,
France,2018,"Expert·es, Canal+, part de femmes",28%,,,
France,2020,"Expert·es, Canal+, part de femmes",36%,,,
France,2018,"Expert·es, M6 part de femmes",20%,,,
France,2020,"Expert·es, M6 part de femmes",30%,,,
France,2018,"Expert·es, Paris Première, part de femmes",39%,,,
France,2020,"Expert·es, Paris Première, part de femmes",17%,,,
France,2019,"Expert·es, France 2, part de femmes",41%,,,
France,2020,"Expert·es, France 2, part de femmes",52%,,,
France,2020,"Expert·es, Paris Première, part de femmes",17%,,,
France,2019,"Expert·es, France 3, part de femmes",29%,,,
France,2020,"Expert·es, France 3, part de femmes",32%,,,
France,2019,"Expert·es, France 5, part de femmes",39%,,,
France,2020,"Journalistes, C8, part de femmes",41%,,,
France,2016,"Télévision, programmes diffusés aux heures de forte audience, part de femmes",25%,,,
France,2017,"Télévision, programmes diffusés aux heures de forte audience, part de femmes",29%,,,
France,2018,"Télévision, programmes diffusés aux heures de forte audience, part de femmes",39%,,,
France,2019,"Télévision, programmes diffusés aux heures de forte audience, part de femmes",33%,,,
France,2020,"Télévision, programmes diffusés aux heures de forte audience, part de femmes",40%,,,
France,2020,"Expert·es dans la presse nationale pendant le premier confinement, part de femmes",26%,,,
France,2020,"A la une des journaux pendant le premier confinement, part de femmes",17%,,,
France,2020,"Signature de tribunes dans les journaux, part de femmes",26%,,,
France,2020,"Télévision, programmes diffusés, part de femmes",43%,,,
France,2020,"Radio, programmes diffusés aux heures de forte audience 6h-8h, part de femmes",38%,,,
France,2020,"Radio, part de femmes",39%,,,
France,2021,"Audiovisuel, part de femmes",44.10%,,,
France,2021,"Audiovisuel, Masse salariale, part de femmes",41%,,MàJ 2022,
France,2021,"Presse, salarié·es permanent·es, masse salariale, part de femmes",46.10%,,MàJ 2022,
France,2021,"Prestation technique, salarié·es permanent·es, masse salariale, part de femmes",26.60%,,MàJ 2022,
France,2021,"Production audiovisuelle, salarié·es permanent·es, masse salariale, part de femmes",45.50%,,MàJ 2022,
France,2021,"Production films animations, salarié·es permanent·es, masse salariale, part de femmes",33.30%,,MàJ 2022,
France,2021,"Radiodiffusion, salarié·es permanent·es, masse salariale, part de femmes",38.20%,,MàJ 2022,
France,2021,"Chef·fe d'entreprise audiovisuelle, part de femmes",23.10%,,MàJ 2022,
France,2021,"Audiovisuel, Ingénieur·es, cadres techniques, part de femmes",24%,,MàJ 2022,
France,2021,"Audiovisuel, technicien·nes, part de femmes",24.50%,,MàJ 2022,
France,2021,"Audiovisuel, emploi intermittent, part de femmes",41.50%,,MàJ 2022,
