indicator,fr,es
"Conseils Départementaux, présidence, part de femmes","Conseils Départementaux, présidence, part de femmes",
"Maire d'une commune - de 500 hab., part de femmes","Maire d'une commune - de 500 hab., part de femmes",
"Ensemble, BEPC, brevet des collèges, part de femmes","Ensemble, BEPC, brevet des collèges, part de femmes",
"Conseils Départementaux, autres fonctions, part de femmes","Conseils Départementaux, autres fonctions, part de femmes",
"Agent·es permanent·es de la collectivité, administration, part de femmes","Agent·es permanent·es de la collectivité, administration, part de femmes",
"Population scolarisée, de 6 à 10 ans, part de femmes","Population scolarisée, de 6 à 10 ans, part de femmes",
"55-64 ans, CAP, BEP ou équivalent, part de femmes","55-64 ans, CAP, BEP ou équivalent, part de femmes",
"25-39 ans, BEPC, brevet des collèges, part de femmes","25-39 ans, BEPC, brevet des collèges, part de femmes",
"Agent·es permanent·es salaire inférieur ou égal à 1685 euros, part de femmes","Agent·es permanent·es salaire inférieur ou égal à 1685 euros, part de femmes",
"Maire de communes rurales, part de femmes","Maire de communes rurales, part de femmes",
"Agent·es permanent·es à temps non complet, part de femmes","Agent·es permanent·es à temps non complet, part de femmes",
"Ensemble, part de femmes","Ensemble, part de femmes",
"Fonction publique territorial, filière Médico-social, part de femmes","Fonction publique territorial, filière Médico-social, part de femmes",
"Conseils communautaires, vice-présidence, part de femmes","Conseils communautaires, vice-présidence, part de femmes",
"Indépendants, part de femmes","Indépendants, part de femmes",
"Fonction publique territorial, filière Police, part de femmes","Fonction publique territorial, filière Police, part de femmes",
"Dirigeant·es salarié·es avec 50 employé·es ou +, part de femmes","Dirigeant·es salarié·es avec 50 employé·es ou +, part de femmes",
"20-24 ans, Bac, brevet professionnel, part de femmes","20-24 ans, Bac, brevet professionnel, part de femmes",
"15-19 ans, Bac+2, part de femmes","15-19 ans, Bac+2, part de femmes",
"55-64 ans, Bac+2, part de femmes","55-64 ans, Bac+2, part de femmes",
"Salarié.es, part de femmes","Salarié.es, part de femmes",
"15-19 ans, BEPC, brevet des collèges, part de femmes","15-19 ans, BEPC, brevet des collèges, part de femmes",
"Population scolarisée, de 25 à 29 ans,, part de femmes","Population scolarisée, de 25 à 29 ans,, part de femmes",
"Secteur agriculture, part de femmes","Secteur agriculture, part de femmes",
"65 ans ou plus, Bac+5 ou plus, part de femmes","65 ans ou plus, Bac+5 ou plus, part de femmes",
"Agent·es permanent·es salaire supérieur à 2200 euros, part de femmes","Agent·es permanent·es salaire supérieur à 2200 euros, part de femmes",
"Population scolarisée, de 25 à 29 ans, part de femmes","Population scolarisée, de 25 à 29 ans, part de femmes",
"Agent·es permanent·es de la collectivité, police municipale, part de femmes","Agent·es permanent·es de la collectivité, police municipale, part de femmes",
"Agent·es permanent·es, Absence pour garde d'enfant, part de femmes","Agent·es permanent·es, Absence pour garde d'enfant, part de femmes",
"20-24 ans, CAP, BEP ou équivalent, part de femmes","20-24 ans, CAP, BEP ou équivalent, part de femmes",
"Part des femmes dans les conseils municipaux","Part des femmes dans les conseils municipaux",
"Administration publique, enseignement, santé, action sociale, salarié.es, part de femmes","Administration publique, enseignement, santé, action sociale, salarié.es, part de femmes",      
"65 ans ou plus, part de femmes","65 ans ou plus, part de femmes",
"Élu·es locaux, part de femmes","Élu·es locaux, part de femmes",
"Conseils intercommunaux, part de femmes","Conseils intercommunaux, part de femmes",
"Conseils régionaux, présidence, part de femmes","Conseils régionaux, présidence, part de femmes",
"Fonction publique territorial, filière Sportive, part de femmes","Fonction publique territorial, filière Sportive, part de femmes",
"Actif.ves ayant un emploi, part de femmes","Actif.ves ayant un emploi, part de femmes",
"40-54 ans, Bac+5 ou plus, part de femmes","40-54 ans, Bac+5 ou plus, part de femmes",
"Population scolarisée, de 11 à 14 ans, part de femmes","Population scolarisée, de 11 à 14 ans, part de femmes",
"Ensemble, CAP, BEP ou équivalent, part de femmes","Ensemble, CAP, BEP ou équivalent, part de femmes",
"Population non scolarisée de 15 ans ou plus, part de femmes","Population non scolarisée de 15 ans ou plus, part de femmes",
"55-64 ans, part de femmes","55-64 ans, part de femmes",
"55-64 ans, BEPC, brevet des collèges, part de femmes","55-64 ans, BEPC, brevet des collèges, part de femmes",
"Intérim, part de femmes","Intérim, part de femmes",
"Ensemble, Bac+5 ou plus, part de femmes","Ensemble, Bac+5 ou plus, part de femmes",
"Premiers adjoints au maire, part de femme","Premiers adjoints au maire, part de femme",
"Agent·es permanent·es de la collectivité, culture, part de femmes","Agent·es permanent·es de la collectivité, culture, part de femmes",
"15-19 ans, Bac+3 ou bac+4, part de femmes","15-19 ans, Bac+3 ou bac+4, part de femmes",
"15-19 ans, part de femmes","15-19 ans, part de femmes",
"Agent·es permanent·es de la collectivité, animation, part de femmes","Agent·es permanent·es de la collectivité, animation, part de femmes",
"de 25 à 54 ans, actif.ves ayant un emploi, part de femmes","de 25 à 54 ans, actif.ves ayant un emploi, part de femmes",
"Conseil municipal, part de femmes","Conseil municipal, part de femmes",
"25-39 ans, Bac, brevet professionnel, part de femmes","25-39 ans, Bac, brevet professionnel, part de femmes",
"Maire d'une commune - 500-1000 hab., part de femmes","Maire d'une commune - 500-1000 hab., part de femmes",
"Emplois aidés, part de femmes","Emplois aidés, part de femmes",
"55-64 ans, aucun diplôme ou certificat d'études, part de femmes","55-64 ans, aucun diplôme ou certificat d'études, part de femmes",
"Conseils Départementaux, vice-présidence, part de femmes","Conseils Départementaux, vice-présidence, part de femmes",
"65 ans ou plus, aucun diplôme ou certificat d'études, part de femmes","65 ans ou plus, aucun diplôme ou certificat d'études, part de femmes",
"40-54 ans, Bac, brevet professionnel, part de femmes","40-54 ans, Bac, brevet professionnel, part de femmes",
"65 ans ou plus, Bac+3 ou bac+4, part de femmes","65 ans ou plus, Bac+3 ou bac+4, part de femmes",
"65 ans ou plus, BEPC, brevet des collèges, part de femmes","65 ans ou plus, BEPC, brevet des collèges, part de femmes",
"65 ans ou plus, Bac+2, part de femmes","65 ans ou plus, Bac+2, part de femmes",
"Titulaires de la fonction publique et contrats à durée indéterminée, part de femmes","Titulaires de la fonction publique et contrats à durée indéterminée, part de femmes",
"65 ans ou plus, Bac, brevet professionnel, part de femmes","65 ans ou plus, Bac, brevet professionnel, part de femmes",
"Entrepreneur·euses individuel·le, part de femmes","Entrepreneur·euses individuel·le, part de femmes",
"Population scolarisée, part de femmes","Population scolarisée, part de femmes",
"Agent·es permanent·es de la collectivité, technique, part de femmes","Agent·es permanent·es de la collectivité, technique, part de femmes",
"Agent·es de service propreté des bâtiments, part de femmes","Agent·es de service propreté des bâtiments, part de femmes",
"20-24 ans, BEPC, brevet des collèges, part de femmes","20-24 ans, BEPC, brevet des collèges, part de femmes",
"55-64 ans, Bac, brevet professionnel, part de femmes","55-64 ans, Bac, brevet professionnel, part de femmes",
"Conseiller·es délégué·es, part de femmes","Conseiller·es délégué·es, part de femmes",
"15 à 24 ans, emploi à temps partiel, part de femmes ","15 à 24 ans, emploi à temps partiel, part de femmes",
"Administration publique, enseignement, santé, action sociale, part de femmes","Administration publique, enseignement, santé, action sociale, part de femmes",
"Agent·es permanent·es, cat.A, en télétravail, part de femmes","Agent·es permanent·es, cat.A, en télétravail, part de femmes",
"25-39 ans, Bac+5 ou plus, part de femmes","25-39 ans, Bac+5 ou plus, part de femmes",
"25-39 ans, Bac+3 ou bac+4, part de femmes","25-39 ans, Bac+3 ou bac+4, part de femmes",
"Deuxièmes adjoints au maire, part de femmes","Deuxièmes adjoints au maire, part de femmes",
"65 ans ou plus, CAP, BEP ou équivalent, part de femmes","65 ans ou plus, CAP, BEP ou équivalent, part de femmes",
"20-24 ans, Bac+2, part de femmes","20-24 ans, Bac+2, part de femmes",
"40-54 ans, Bac+3 ou bac+4, part de femmes","40-54 ans, Bac+3 ou bac+4, part de femmes",
"Commerce, transports, services, non salarié.es, part de femmes","Commerce, transports, services, non salarié.es, part de femmes",
"Agent·es permanent·es, cat.B, en télétravail, part de femmes","Agent·es permanent·es, cat.B, en télétravail, part de femmes",
