indicator,fr,es
"Indemnités de fonction, agent·es, technique, femmes par rapport aux hommes","Indemnités de fonction, agent·es, technique, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, medico-social, femmes par rapport aux hommes","Indemnités de fonction, agent·es, medico-social, femmes par rapport aux hommes",
"Salaire net horaire moyen total, cadres, prof.intellectuelles sup. et chef.fes d'entreprises salarié.es, femmes par rapport aux hommes ","Salaire net horaire moyen total, cadres, prof.intellectuelles sup. et chef.fes d'entreprises salarié.es, femmes par rapport aux hommes ",
"Part de la population scolarisée, de 15 à 17 ans, femmes par rapport aux hommes","Part de la population scolarisée, de 15 à 17 ans, femmes par rapport aux hommes",
"Salaire net horaire moyen total, 26 à 50 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, 26 à 50 ans, femmes par rapport aux hommes",
"Taux de temps partiel, femmes par rapport aux hommes","Taux de temps partiel, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, culture, femmes par rapport aux hommes","Indemnités de fonction, agent·es, culture, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, toute filière, femmes par rapport aux hommes","Indemnités de fonction, agent·es, toute filière, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, sport, femmes par rapport aux hommes","Indemnités de fonction, agent·es, sport, femmes par rapport aux hommes",
"Diplôme de l'enseignement supérieur de niveau bac + 2, femmes par rapport aux hommes","Diplôme de l'enseignement supérieur de niveau bac + 2, femmes par rapport aux hommes",
"25 à 54 ans, taux de temps partiel, femmes par rapport aux hommes","25 à 54 ans, taux de temps partiel, femmes par rapport aux hommes",
"15 à 24 ans, taux de temps partiel, femmes par rapport aux hommes","15 à 24 ans, taux de temps partiel, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, administration, femmes par rapport aux hommes","Indemnités de fonction, agent·es, administration, femmes par rapport aux hommes",
"25 à 54 ans, taux d'emploi, femmes par rapport aux hommes","25 à 54 ans, taux d'emploi, femmes par rapport aux hommes",
"Part de la population scolarisée, de 11 à 14 ans, femmes par rapport aux hommes","Part de la population scolarisée, de 11 à 14 ans, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, police, femmes par rapport aux hommes","Indemnités de fonction, agent·es, police, femmes par rapport aux hommes",
"BEPC, brevet des collèges, DNB, femmes par rapport aux hommes","BEPC, brevet des collèges, DNB, femmes par rapport aux hommes",
"Part de la population scolarisée, de 25 à 29 ans, femmes par rapport aux hommes","Part de la population scolarisée, de 25 à 29 ans, femmes par rapport aux hommes",
"CAP, BEP ou équivalent, femmes par rapport aux hommes","CAP, BEP ou équivalent, femmes par rapport aux hommes",
"Diplôme de l'enseignement supérieur de niveau bac + 3 ou bac + 4, femmes par rapport aux hommes","Diplôme de l'enseignement supérieur de niveau bac + 3 ou bac + 4, femmes par rapport aux hommes",
"Salaire net horaire moyen total, ouvrier.es, femmes par rapport aux hommes","Salaire net horaire moyen total, ouvrier.es, femmes par rapport aux hommes",
"Aucun diplôme ou certificat d'études primaires, femmes par rapport aux hommes","Aucun diplôme ou certificat d'études primaires, femmes par rapport aux hommes",
"Salaire net horaire moyen total, 18 à 25 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, 18 à 25 ans, femmes par rapport aux hommes",
"Salaire net horaire moyen total, employé.es, femmes par rapport aux hommes","Salaire net horaire moyen total, employé.es, femmes par rapport aux hommes",
"Baccalauréat, brevet professionnel ou équivalent, femmes par rapport aux hommes","Baccalauréat, brevet professionnel ou équivalent, femmes par rapport aux hommes",
"Taux d'emploi, femmes par rapport aux hommes","Taux d'emploi, femmes par rapport aux hommes",
"Diplôme de l'enseignement supérieur de niveau bac + 5 ou plus, femmes par rapport aux hommes","Diplôme de l'enseignement supérieur de niveau bac + 5 ou plus, femmes par rapport aux hommes",
"Salaire net horaire moyen total, professions intermédiaires, femmes par rapport aux hommes ","Salaire net horaire moyen total, professions intermédiaires, femmes par rapport aux hommes ",
"Part de la population scolarisée, de 18 à 24 ans, femmes par rapport aux hommes","Part de la population scolarisée, de 18 à 24 ans, femmes par rapport aux hommes",
"Part de la population scolarisée, de 6 à 10 ans, femmes par rapport aux hommes","Part de la population scolarisée, de 6 à 10 ans, femmes par rapport aux hommes",
"Salaire net horaire moyen total, femmes par rapport aux hommes","Salaire net horaire moyen total, femmes par rapport aux hommes",
"55 à 64 ans, taux de temps partiel, femmes par rapport aux hommes","55 à 64 ans, taux de temps partiel, femmes par rapport aux hommes",
"Salaire net horaire moyen total, + de 50 ans, femmes par rapport aux hommes","Salaire net horaire moyen total, + de 50 ans, femmes par rapport aux hommes",
"Part de la population scolarisée, 30 ans ou plus, femmes par rapport aux hommes","Part de la population scolarisée, 30 ans ou plus, femmes par rapport aux hommes",
"Indemnités de fonction, agent·es, animation, femmes par rapport aux hommes","Indemnités de fonction, agent·es, animation, femmes par rapport aux hommes",
